HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
79,0.84,79,0.84,79,0.23,79,0.76,79,0.98,79,0.97,79,0.23,79,0.82
80,0.84,80,0.84,80,0.23,80,0.75,80,0.98,80,0.97,80,0.23,80,0.8
81,0.84,81,0.84,81,0.23,81,0.74,81,0.98,81,0.98,81,0.23,81,0.79
82,0.84,82,0.84,82,0.23,82,0.78,82,0.98,82,0.98,82,0.23,82,0.84
83,0.84,83,0.84,83,0.23,83,0.75,83,0.98,83,0.98,83,0.23,83,0.81
84,0.84,84,0.84,84,0.23,84,0.75,84,0.98,84,0.98,84,0.23,84,0.82
85,0.84,85,0.84,85,0.23,85,0.76,85,0.98,85,0.98,85,0.23,85,0.81
86,0.84,86,0.84,86,0.22,86,0.78,86,0.99,86,0.98,86,0.23,86,0.82
87,0.84,87,0.84,87,0.22,87,0.77,87,0.98,87,0.98,87,0.22,87,0.83
88,0.84,88,0.84,88,0.22,88,0.76,88,0.98,88,0.99,88,0.22,88,0.81
89,0.84,89,0.84,89,0.22,89,0.72,89,0.99,89,0.98,89,0.22,89,0.76
90,0.84,90,0.84,90,0.22,90,0.76,90,0.99,90,0.98,90,0.22,90,0.82
91,0.84,91,0.84,91,0.22,91,0.76,91,0.99,91,0.99,91,0.22,91,0.82
92,0.84,92,0.84,92,0.22,92,0.75,92,0.98,92,0.98,92,0.22,92,0.81
93,0.84,93,0.84,93,0.22,93,0.73,93,0.99,93,0.98,93,0.22,93,0.78
94,0.84,94,0.84,94,0.22,94,0.76,94,0.99,94,0.99,94,0.22,94,0.81
95,0.84,95,0.84,95,0.22,95,0.73,95,0.98,95,0.99,95,0.22,95,0.77
96,0.84,96,0.84,96,0.22,96,0.76,96,0.99,96,0.99,96,0.22,96,0.81
97,0.84,97,0.84,97,0.22,97,0.76,97,0.99,97,0.99,97,0.22,97,0.8
98,0.84,98,0.84,98,0.22,98,0.75,98,0.99,98,0.98,98,0.22,98,0.81
99,0.84,99,0.84,99,0.22,99,0.74,99,0.99,99,0.99,99,0.22,99,0.8
