Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
55,-1.1657142857142857,55.0,-1.284857142857143,55.0,-2.853857142857143,55.0,-1.959,55.0,-0.05028571428571428,55.0,-0.5767142857142857,55.0,-3.0937142857142854,55.0,-0.6831428571428572
56,-1.1594285714285715,56.0,-1.2592857142857141,56.0,-2.814,56.0,-1.885714285714286,56.0,-0.038,56.0,-0.5487142857142857,56.0,-3.078,56.0,-0.731
57,-1.1602857142857144,57.0,-1.2435714285714285,57.0,-2.793714285714286,57.0,-2.032,57.0,-0.04214285714285715,57.0,-0.49414285714285716,57.0,-3.0557142857142856,57.0,-0.7688571428571428
58,-1.1657142857142857,58.0,-1.2348571428571429,58.0,-2.742857142857143,58.0,-2.161857142857143,58.0,-0.027142857142857142,58.0,-0.42771428571428566,58.0,-3.032285714285714,58.0,-0.7809999999999999
59,-1.1615714285714287,59.0,-1.2304285714285714,59.0,-2.7022857142857144,59.0,-1.803857142857143,59.0,-0.015571428571428571,59.0,-0.40771428571428575,59.0,-3.009571428571429,59.0,-0.723
60,-1.1544285714285714,60.0,-1.2258571428571428,60.0,-2.6565714285714286,60.0,-1.8921428571428571,60.0,-0.004714285714285711,60.0,-0.3557142857142857,60.0,-2.9804285714285714,60.0,-0.5961428571428572
61,-1.1621428571428571,61.0,-1.2089999999999999,61.0,-2.633,61.0,-2.0544285714285713,61.0,0.0045714285714285735,61.0,-0.324,61.0,-2.9635714285714285,61.0,-0.8068571428571428
62,-1.1611428571428573,62.0,-1.2002857142857142,62.0,-2.582,62.0,-1.938857142857143,62.0,0.009571428571428568,62.0,-0.29085714285714287,62.0,-2.941,62.0,-0.8385714285714286
63,-1.1614285714285713,63.0,-1.1988571428571428,63.0,-2.5332857142857144,63.0,-1.957,63.0,0.0034285714285714297,63.0,-0.2434285714285714,63.0,-2.9065714285714286,63.0,-0.78
64,-1.1632857142857145,64.0,-1.183142857142857,64.0,-2.4804285714285714,64.0,-2.1502857142857144,64.0,0.02214285714285714,64.0,-0.20142857142857143,64.0,-2.8757142857142854,64.0,-1.0395714285714286
65,-1.1602857142857144,65.0,-1.1732857142857143,65.0,-2.468,65.0,-1.99,65.0,0.02842857142857143,65.0,-0.15757142857142856,65.0,-2.859714285714286,65.0,-0.9971428571428572
66,-1.1574285714285715,66.0,-1.1767142857142858,66.0,-2.411857142857143,66.0,-1.9601428571428572,66.0,0.021571428571428568,66.0,-0.141,66.0,-2.823,66.0,-0.8354285714285715
67,-1.159,67.0,-1.1714285714285713,67.0,-2.3804285714285713,67.0,-2.2462857142857144,67.0,0.0462857142857143,67.0,-0.10671428571428572,67.0,-2.803857142857143,67.0,-1.0125714285714287
68,-1.1562857142857141,68.0,-1.1650000000000003,68.0,-2.3302857142857145,68.0,-2.1517142857142857,68.0,0.05714285714285715,68.0,-0.09957142857142856,68.0,-2.765571428571429,68.0,-1.1071428571428572
69,-1.1532857142857142,69.0,-1.1667142857142856,69.0,-2.3087142857142857,69.0,-2.144285714285714,69.0,0.050571428571428566,69.0,-0.07328571428571429,69.0,-2.7455714285714286,69.0,-1.0758571428571428
70,-1.1574285714285715,70.0,-1.1585714285714286,70.0,-2.262142857142857,70.0,-1.9775714285714285,70.0,0.061285714285714284,70.0,-0.07371428571428572,70.0,-2.7032857142857147,70.0,-0.9961428571428571
71,-1.1548571428571428,71.0,-1.1602857142857144,71.0,-2.2075714285714287,71.0,-2.057714285714286,71.0,0.07185714285714286,71.0,-0.04371428571428571,71.0,-2.6552857142857142,71.0,-1.0851428571428572
72,-1.1541428571428571,72.0,-1.1601428571428571,72.0,-2.198,72.0,-2.1834285714285713,72.0,0.06557142857142857,72.0,-0.03514285714285714,72.0,-2.6427142857142853,72.0,-1.223142857142857
73,-1.1614285714285715,73.0,-1.1675714285714285,73.0,-2.137,73.0,-2.045714285714286,73.0,0.06699999999999999,73.0,-0.029571428571428575,73.0,-2.588142857142857,73.0,-1.0264285714285715
74,-1.1584285714285714,74.0,-1.1662857142857141,74.0,-2.078,74.0,-2.385857142857143,74.0,0.06942857142857142,74.0,-0.014,74.0,-2.524142857142857,74.0,-1.4114285714285715
75,-1.1595714285714287,75.0,-1.1771428571428573,75.0,-2.0134285714285713,75.0,-2.164142857142857,75.0,0.09585714285714286,75.0,0.006857142857142858,75.0,-2.4617142857142857,75.0,-1.0937142857142856
76,-1.161,76.0,-1.1667142857142856,76.0,-1.9872857142857143,76.0,-2.092142857142857,76.0,0.08528571428571428,76.0,0.027857142857142858,76.0,-2.428714285714286,76.0,-1.1785714285714286
77,-1.1625714285714286,77.0,-1.167,77.0,-1.8982857142857144,77.0,-2.3411428571428567,77.0,0.09385714285714286,77.0,0.03671428571428571,77.0,-2.3482857142857143,77.0,-1.424
78,-1.163142857142857,78.0,-1.1617142857142857,78.0,-1.8764285714285713,78.0,-2.1332857142857145,78.0,0.08957142857142857,78.0,0.031142857142857142,78.0,-2.3082857142857143,78.0,-1.2087142857142859
79,-1.1605714285714286,79.0,-1.1654285714285713,79.0,-1.8452857142857142,79.0,-2.1952857142857143,79.0,0.10528571428571429,79.0,0.053285714285714283,79.0,-2.2528571428571427,79.0,-1.2781428571428572
80,-1.1601428571428571,80.0,-1.154,80.0,-1.8058571428571428,80.0,-2.0315714285714286,80.0,0.11257142857142857,80.0,0.06671428571428571,80.0,-2.2414285714285715,80.0,-1.1878571428571427
81,-1.1602857142857144,81.0,-1.1677142857142857,81.0,-1.7535714285714286,81.0,-2.0425714285714287,81.0,0.11214285714285714,81.0,0.07814285714285715,81.0,-2.185857142857143,81.0,-1.1098571428571429
82,-1.1658571428571427,82.0,-1.1618571428571427,82.0,-1.718,82.0,-2.1205714285714286,82.0,0.11342857142857143,82.0,0.07942857142857143,82.0,-2.1381428571428573,82.0,-1.346857142857143
