Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
74,-1.0842857142857143,74.0,-1.083,74.0,-3.680285714285714,74.0,-2.907,74.0,-0.3217142857142857,74.0,-0.43014285714285716,74.0,-3.801142857142857,74.0,-3.190714285714286
75,-1.0874285714285714,75.0,-1.0858571428571429,75.0,-3.680142857142857,75.0,-2.7912857142857144,75.0,-0.294,75.0,-0.44871428571428573,75.0,-3.802142857142857,75.0,-3.1197142857142857
76,-1.0844285714285715,76.0,-1.0784285714285713,76.0,-3.6792857142857143,76.0,-2.7145714285714284,76.0,-0.3162857142857143,76.0,-0.4022857142857143,76.0,-3.8027142857142855,76.0,-3.064285714285714
77,-1.0844285714285715,77.0,-1.093,77.0,-3.6822857142857144,77.0,-2.9469999999999996,77.0,-0.2978571428571429,77.0,-0.41285714285714287,77.0,-3.802857142857143,77.0,-3.232714285714286
78,-1.0932857142857144,78.0,-1.0845714285714285,78.0,-3.684857142857143,78.0,-2.987142857142857,78.0,-0.29457142857142854,78.0,-0.3831428571428571,78.0,-3.8042857142857143,78.0,-3.2905714285714285
79,-1.0858571428571429,79.0,-1.0831428571428572,79.0,-3.684,79.0,-2.7887142857142857,79.0,-0.2842857142857143,79.0,-0.3031428571428571,79.0,-3.803857142857143,79.0,-3.1274285714285712
80,-1.0834285714285714,80.0,-1.0864285714285713,80.0,-3.6775714285714285,80.0,-2.887571428571429,80.0,-0.2775714285714286,80.0,-0.3375714285714286,80.0,-3.802857142857143,80.0,-3.1882857142857146
81,-1.0885714285714285,81.0,-1.082,81.0,-3.682714285714286,81.0,-2.9038571428571425,81.0,-0.2644285714285714,81.0,-0.28757142857142853,81.0,-3.8045714285714283,81.0,-3.204571428571428
82,-1.0824285714285715,82.0,-1.0799999999999998,82.0,-3.681142857142857,82.0,-2.985,82.0,-0.26342857142857146,82.0,-0.31471428571428567,82.0,-3.8048571428571427,82.0,-3.291
83,-1.0935714285714284,83.0,-1.0851428571428572,83.0,-3.69,83.0,-2.9388571428571426,83.0,-0.26485714285714285,83.0,-0.3098571428571429,83.0,-3.806857142857143,83.0,-3.258714285714286
84,-1.0962857142857143,84.0,-1.0742857142857143,84.0,-3.690857142857143,84.0,-2.935857142857143,84.0,-0.23,84.0,-0.269,84.0,-3.8084285714285713,84.0,-3.264714285714286
85,-1.0917142857142859,85.0,-1.08,85.0,-3.6861428571428574,85.0,-2.9077142857142855,85.0,-0.24757142857142858,85.0,-0.28671428571428575,85.0,-3.806142857142857,85.0,-3.189285714285714
86,-1.0925714285714285,86.0,-1.084,86.0,-3.688714285714286,86.0,-2.921285714285714,86.0,-0.2705714285714286,86.0,-0.2854285714285714,86.0,-3.807714285714286,86.0,-3.2075714285714283
87,-1.0812857142857142,87.0,-1.0754285714285714,87.0,-3.6888571428571426,87.0,-2.846571428571429,87.0,-0.2624285714285714,87.0,-0.25599999999999995,87.0,-3.8081428571428573,87.0,-3.216285714285714
