Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage,score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage.1,score.6,Dropout Num.1,score.7
80,-1.2435716666666667,80.0,-1.237465,80.0,-3.2567583333333334,80.0,-2.4909166666666667,80.0,-0.364485,80.0,-0.44050666666666666,80.0,-3.2586583333333334,80.0,-2.3825
81,-1.2240516666666668,81.0,-1.2362175,81.0,-3.258058333333333,81.0,-2.468408333333333,81.0,-0.3661216666666667,81.0,-0.40852249999999996,81.0,-3.260025,81.0,-2.3458916666666667
82,-1.2517583333333333,82.0,-1.243095,82.0,-3.2634000000000003,82.0,-2.385083333333333,82.0,-0.37484500000000004,82.0,-0.4314475,82.0,-3.263491666666667,82.0,-2.3480583333333334
83,-1.2356524999999998,83.0,-1.2386275,83.0,-3.264908333333333,83.0,-2.4567833333333335,83.0,-0.37011166666666667,83.0,-0.40936,83.0,-3.2637583333333335,83.0,-2.3607583333333335
84,-1.2297458333333333,84.0,-1.2353966666666667,84.0,-3.2670166666666667,84.0,-2.4885083333333333,84.0,-0.3766075,84.0,-0.4039216666666667,84.0,-3.2658166666666664,84.0,-2.3656916666666667
85,-1.2349266666666667,85.0,-1.2495925,85.0,-3.267825,85.0,-2.464425,85.0,-0.38471083333333334,85.0,-0.38940083333333336,85.0,-3.268091666666667,85.0,-2.367825
86,-1.2443483333333334,86.0,-1.2550658333333333,86.0,-3.27005,86.0,-2.4604416666666666,86.0,-0.39874583333333335,86.0,-0.39020666666666665,86.0,-3.2721750000000003,86.0,-2.3644833333333333
87,-1.2383666666666666,87.0,-1.2346783333333333,87.0,-3.270766666666667,87.0,-2.5110083333333333,87.0,-0.39221916666666673,87.0,-0.37313833333333335,87.0,-3.273233333333333,87.0,-2.4215166666666668
88,-1.2405041666666667,88.0,-1.2443583333333332,88.0,-3.2745416666666665,88.0,-2.4613833333333335,88.0,-0.37997583333333335,88.0,-0.37651833333333334,88.0,-3.2756166666666666,88.0,-2.371633333333333
89,-1.2401008333333332,89.0,-1.2532158333333334,89.0,-3.2792250000000003,89.0,-2.5473916666666665,89.0,-0.39084583333333334,89.0,-0.34668583333333336,89.0,-3.2815250000000002,89.0,-2.4766583333333334
90,-1.2303891666666666,90.0,-1.23744,90.0,-3.281125,90.0,-2.5197,90.0,-0.37738333333333335,90.0,-0.34149416666666665,90.0,-3.2811333333333335,90.0,-2.4429
91,-1.2437191666666667,91.0,-1.2459716666666667,91.0,-3.2850083333333333,91.0,-2.493475,91.0,-0.34641583333333337,91.0,-0.35566916666666665,91.0,-3.2853833333333333,91.0,-2.4021
92,-1.2373675,92.0,-1.2523258333333334,92.0,-3.285975,92.0,-2.5365166666666665,92.0,-0.34589916666666665,92.0,-0.35014083333333335,92.0,-3.286975,92.0,-2.4711416666666666
93,-1.2585141666666666,93.0,-1.2494416666666666,93.0,-3.2910083333333335,93.0,-2.5404750000000003,93.0,-0.3135325,93.0,-0.36044916666666665,93.0,-3.2912166666666667,93.0,-2.4575583333333335
94,-1.2526583333333334,94.0,-1.2390158333333334,94.0,-3.2926083333333334,94.0,-2.5313250000000003,94.0,-0.33683166666666664,94.0,-0.3184516666666667,94.0,-3.292,94.0,-2.472825
95,-1.2310516666666667,95.0,-1.2463975,95.0,-3.2926583333333332,95.0,-2.5774166666666667,95.0,-0.3286833333333333,95.0,-0.3187275,95.0,-3.2953083333333333,95.0,-2.552983333333333
96,-1.2525691666666667,96.0,-1.2421133333333334,96.0,-3.293875,96.0,-2.5403333333333333,96.0,-0.3500391666666667,96.0,-0.33468000000000003,96.0,-3.296075,96.0,-2.4478166666666668
97,-1.2425916666666665,97.0,-1.250075,97.0,-3.2966583333333332,97.0,-2.56395,97.0,-0.3556458333333334,97.0,-0.2935833333333333,97.0,-3.2970333333333333,97.0,-2.5158833333333335
98,-1.2602791666666666,98.0,-1.2658616666666667,98.0,-3.302633333333333,98.0,-2.5398583333333336,98.0,-0.34962916666666666,98.0,-0.3070983333333333,98.0,-3.303875,98.0,-2.4820583333333333
99,-1.2621508333333333,99.0,-1.2460275,99.0,-3.304933333333333,99.0,-2.5725083333333334,99.0,-0.34017416666666667,99.0,-0.2992008333333333,99.0,-3.306525,99.0,-2.499033333333333
