HumNoise SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,HumNoise SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
49,0.8391666666666667,49.0,0.84,49.0,0.29583333333333334,49.0,0.7508333333333334,49.0,0.9333333333333332,49.0,0.8583333333333334,49.0,0.2925,49.0,0.7925
50,0.8408333333333333,50.0,0.8424999999999999,50.0,0.295,50.0,0.7541666666666668,50.0,0.9333333333333332,50.0,0.8649999999999999,50.0,0.29083333333333333,50.0,0.7999999999999999
51,0.8391666666666667,51.0,0.8424999999999999,51.0,0.2925,51.0,0.745,51.0,0.9375,51.0,0.87,51.0,0.28833333333333333,51.0,0.7841666666666667
52,0.8391666666666667,52.0,0.8391666666666667,52.0,0.28750000000000003,52.0,0.7541666666666668,52.0,0.9358333333333334,52.0,0.87,52.0,0.2833333333333333,52.0,0.7949999999999999
53,0.8408333333333333,53.0,0.84,53.0,0.2841666666666667,53.0,0.755,53.0,0.9375,53.0,0.8725,53.0,0.2816666666666667,53.0,0.7958333333333334
54,0.8391666666666667,54.0,0.8416666666666667,54.0,0.2833333333333333,54.0,0.7525,54.0,0.9391666666666666,54.0,0.8775,54.0,0.27999999999999997,54.0,0.7925
55,0.84,55.0,0.84,55.0,0.27999999999999997,55.0,0.7475,55.0,0.94,55.0,0.8808333333333334,55.0,0.2783333333333333,55.0,0.7825000000000001
56,0.8408333333333333,56.0,0.8391666666666667,56.0,0.27666666666666667,56.0,0.7458333333333332,56.0,0.9408333333333333,56.0,0.8825,56.0,0.27166666666666667,56.0,0.7833333333333333
57,0.8391666666666667,57.0,0.8408333333333333,57.0,0.27416666666666667,57.0,0.7533333333333334,57.0,0.9408333333333333,57.0,0.8850000000000001,57.0,0.2708333333333333,57.0,0.7908333333333334
58,0.84,58.0,0.84,58.0,0.2733333333333334,58.0,0.7541666666666668,58.0,0.9416666666666665,58.0,0.8933333333333334,58.0,0.27,58.0,0.7875
59,0.84,59.0,0.8383333333333334,59.0,0.2708333333333333,59.0,0.7458333333333332,59.0,0.945,59.0,0.8916666666666666,59.0,0.2675,59.0,0.785
60,0.84,60.0,0.84,60.0,0.2675,60.0,0.7408333333333333,60.0,0.9441666666666667,60.0,0.8975,60.0,0.26416666666666666,60.0,0.7766666666666667
61,0.84,61.0,0.8416666666666667,61.0,0.265,61.0,0.7475,61.0,0.945,61.0,0.8991666666666668,61.0,0.26166666666666666,61.0,0.7833333333333333
62,0.84,62.0,0.84,62.0,0.26166666666666666,62.0,0.7491666666666666,62.0,0.9483333333333333,62.0,0.9016666666666667,62.0,0.26,62.0,0.7833333333333333
63,0.8416666666666667,63.0,0.84,63.0,0.26,63.0,0.7333333333333334,63.0,0.9474999999999999,63.0,0.9075000000000001,63.0,0.26,63.0,0.7666666666666666
64,0.84,64.0,0.8375,64.0,0.25916666666666666,64.0,0.7391666666666667,64.0,0.9483333333333333,64.0,0.9125000000000001,64.0,0.2575,64.0,0.7741666666666668
65,0.84,65.0,0.8383333333333334,65.0,0.2575,65.0,0.73,65.0,0.9474999999999999,65.0,0.9125000000000001,65.0,0.25666666666666665,65.0,0.7633333333333333
