Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
87,-1.1638333333333335,87.0,-1.1609166666666666,87.0,-3.733166666666667,87.0,-2.9015,87.0,-0.25025000000000003,87.0,-0.282,87.0,-3.8256666666666668,87.0,-3.21625
88,-1.1670833333333335,88.0,-1.1640833333333334,88.0,-3.7395,88.0,-3.001416666666667,88.0,-0.24383333333333335,88.0,-0.25908333333333333,88.0,-3.8289166666666667,88.0,-3.3073333333333337
89,-1.16725,89.0,-1.16825,89.0,-3.7428333333333335,89.0,-3.019833333333333,89.0,-0.237,89.0,-0.2335,89.0,-3.829416666666667,89.0,-3.333
90,-1.1673333333333333,90.0,-1.1623333333333334,90.0,-3.7415833333333333,90.0,-2.907166666666667,90.0,-0.22566666666666668,90.0,-0.22283333333333333,90.0,-3.83,90.0,-3.2434166666666666
91,-1.1624166666666667,91.0,-1.1674166666666668,91.0,-3.7436666666666665,91.0,-2.9828333333333332,91.0,-0.216,91.0,-0.23375,91.0,-3.8309166666666665,91.0,-3.3312500000000003
92,-1.1666666666666667,92.0,-1.1635833333333334,92.0,-3.7419999999999995,92.0,-3.0985,92.0,-0.19991666666666666,92.0,-0.21925000000000003,92.0,-3.8315,92.0,-3.3870833333333334
93,-1.1668333333333334,93.0,-1.1615833333333334,93.0,-3.7488333333333332,93.0,-2.96575,93.0,-0.18475,93.0,-0.2025,93.0,-3.8343333333333334,93.0,-3.3289166666666667
94,-1.1641666666666668,94.0,-1.1658333333333333,94.0,-3.7466666666666666,94.0,-3.0380000000000003,94.0,-0.20591666666666666,94.0,-0.17808333333333334,94.0,-3.8341666666666665,94.0,-3.342
95,-1.1660833333333334,95.0,-1.1704999999999999,95.0,-3.7459166666666666,95.0,-2.921583333333333,95.0,-0.18808333333333335,95.0,-0.17991666666666664,95.0,-3.8340833333333335,95.0,-3.261416666666667
96,-1.1660833333333334,96.0,-1.1628333333333334,96.0,-3.7479999999999998,96.0,-2.9450833333333333,96.0,-0.18500000000000003,96.0,-0.20191666666666666,96.0,-3.8358333333333334,96.0,-3.3006666666666664
97,-1.16375,97.0,-1.1678333333333335,97.0,-3.7560000000000002,97.0,-3.1276666666666664,97.0,-0.1709166666666667,97.0,-0.16733333333333333,97.0,-3.839,97.0,-3.4233333333333333
98,-1.1653333333333333,98.0,-1.1631666666666667,98.0,-3.7560000000000002,98.0,-3.057916666666667,98.0,-0.16741666666666666,98.0,-0.16025,98.0,-3.839,98.0,-3.375166666666667
99,-1.1676666666666666,99.0,-1.1619166666666667,99.0,-3.7656666666666667,99.0,-3.0055,99.0,-0.17058333333333334,99.0,-0.1595,99.0,-3.840583333333333,99.0,-3.341583333333334
