HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
85,0.81,85,0.82,85,0.23,85,0.69,85,0.96,85,0.95,85,0.23,85,0.73
86,0.82,86,0.82,86,0.23,86,0.71,86,0.96,86,0.96,86,0.23,86,0.77
87,0.82,87,0.81,87,0.23,87,0.71,87,0.96,87,0.96,87,0.23,87,0.76
88,0.81,88,0.81,88,0.23,88,0.71,88,0.96,88,0.96,88,0.23,88,0.77
89,0.81,89,0.81,89,0.23,89,0.71,89,0.96,89,0.96,89,0.23,89,0.75
90,0.82,90,0.81,90,0.23,90,0.71,90,0.96,90,0.96,90,0.23,90,0.75
91,0.81,91,0.81,91,0.23,91,0.69,91,0.96,91,0.96,91,0.23,91,0.73
92,0.82,92,0.82,92,0.23,92,0.71,92,0.96,92,0.96,92,0.23,92,0.75
93,0.81,93,0.81,93,0.23,93,0.71,93,0.96,93,0.96,93,0.23,93,0.76
94,0.81,94,0.81,94,0.23,94,0.72,94,0.96,94,0.96,94,0.23,94,0.77
95,0.81,95,0.81,95,0.23,95,0.67,95,0.96,95,0.96,95,0.23,95,0.71
96,0.81,96,0.81,96,0.23,96,0.68,96,0.96,96,0.96,96,0.23,96,0.72
97,0.81,97,0.81,97,0.22,97,0.69,97,0.96,97,0.96,97,0.22,97,0.72
98,0.81,98,0.81,98,0.22,98,0.7,98,0.96,98,0.96,98,0.22,98,0.75
99,0.81,99,0.81,99,0.22,99,0.69,99,0.96,99,0.96,99,0.22,99,0.73
