HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
30,0.81,30,0.75,30,0.33,30,0.77,30,0.9,30,0.69,30,0.32,30,0.85
31,0.8,31,0.77,31,0.33,31,0.74,31,0.9,31,0.71,31,0.32,31,0.8
32,0.81,32,0.77,32,0.32,32,0.76,32,0.9,32,0.71,32,0.31,32,0.82
33,0.81,33,0.78,33,0.32,33,0.77,33,0.91,33,0.73,33,0.31,33,0.83
34,0.81,34,0.79,34,0.31,34,0.74,34,0.91,34,0.74,34,0.3,34,0.8
35,0.81,35,0.8,35,0.31,35,0.77,35,0.92,35,0.75,35,0.3,35,0.84
36,0.81,36,0.8,36,0.3,36,0.73,36,0.91,36,0.76,36,0.29,36,0.77
37,0.81,37,0.8,37,0.3,37,0.77,37,0.92,37,0.77,37,0.29,37,0.84
38,0.81,38,0.81,38,0.29,38,0.75,38,0.92,38,0.77,38,0.29,38,0.8
39,0.82,39,0.81,39,0.29,39,0.76,39,0.92,39,0.79,39,0.29,39,0.81
40,0.82,40,0.81,40,0.29,40,0.74,40,0.92,40,0.79,40,0.28,40,0.79
41,0.82,41,0.81,41,0.29,41,0.75,41,0.93,41,0.8,41,0.28,41,0.78
42,0.82,42,0.81,42,0.28,42,0.75,42,0.92,42,0.8,42,0.28,42,0.8
43,0.82,43,0.81,43,0.28,43,0.75,43,0.93,43,0.8,43,0.28,43,0.78
44,0.82,44,0.81,44,0.28,44,0.76,44,0.94,44,0.81,44,0.27,44,0.82
45,0.82,45,0.82,45,0.28,45,0.76,45,0.93,45,0.81,45,0.27,45,0.79
46,0.81,46,0.82,46,0.27,46,0.74,46,0.93,46,0.82,46,0.27,46,0.79
47,0.81,47,0.82,47,0.27,47,0.75,47,0.94,47,0.82,47,0.26,47,0.8
48,0.82,48,0.81,48,0.27,48,0.74,48,0.94,48,0.83,48,0.26,48,0.79
49,0.81,49,0.81,49,0.26,49,0.73,49,0.94,49,0.84,49,0.26,49,0.76
50,0.82,50,0.82,50,0.26,50,0.73,50,0.94,50,0.83,50,0.26,50,0.76
51,0.82,51,0.82,51,0.26,51,0.71,51,0.95,51,0.84,51,0.26,51,0.75
52,0.82,52,0.81,52,0.26,52,0.73,52,0.95,52,0.85,52,0.25,52,0.76
53,0.82,53,0.81,53,0.25,53,0.71,53,0.94,53,0.85,53,0.25,53,0.75
54,0.82,54,0.82,54,0.25,54,0.72,54,0.94,54,0.86,54,0.25,54,0.75
55,0.82,55,0.82,55,0.25,55,0.73,55,0.94,55,0.87,55,0.25,55,0.76
56,0.82,56,0.82,56,0.25,56,0.72,56,0.95,56,0.86,56,0.25,56,0.76
57,0.82,57,0.82,57,0.25,57,0.72,57,0.95,57,0.87,57,0.24,57,0.75
58,0.82,58,0.82,58,0.25,58,0.73,58,0.95,58,0.88,58,0.24,58,0.76
59,0.81,59,0.81,59,0.24,59,0.71,59,0.95,59,0.88,59,0.24,59,0.74
60,0.81,60,0.81,60,0.24,60,0.72,60,0.95,60,0.89,60,0.24,60,0.75
61,0.82,61,0.81,61,0.24,61,0.71,61,0.95,61,0.88,61,0.24,61,0.74
62,0.81,62,0.82,62,0.24,62,0.73,62,0.96,62,0.89,62,0.24,62,0.76
63,0.82,63,0.81,63,0.24,63,0.73,63,0.96,63,0.9,63,0.24,63,0.75
64,0.81,64,0.81,64,0.24,64,0.73,64,0.95,64,0.9,64,0.24,64,0.76
65,0.82,65,0.81,65,0.24,65,0.72,65,0.96,65,0.9,65,0.24,65,0.76
66,0.82,66,0.82,66,0.24,66,0.7,66,0.96,66,0.91,66,0.23,66,0.72
67,0.81,67,0.82,67,0.23,67,0.72,67,0.96,67,0.91,67,0.23,67,0.75
68,0.81,68,0.81,68,0.23,68,0.7,68,0.96,68,0.91,68,0.23,68,0.72
69,0.81,69,0.82,69,0.23,69,0.69,69,0.95,69,0.92,69,0.23,69,0.7
70,0.82,70,0.82,70,0.23,70,0.7,70,0.96,70,0.92,70,0.23,70,0.74
71,0.82,71,0.81,71,0.23,71,0.69,71,0.96,71,0.92,71,0.23,71,0.7
72,0.82,72,0.82,72,0.23,72,0.69,72,0.95,72,0.93,72,0.23,72,0.71
73,0.81,73,0.81,73,0.23,73,0.71,73,0.96,73,0.93,73,0.23,73,0.73
74,0.82,74,0.82,74,0.23,74,0.7,74,0.96,74,0.93,74,0.22,74,0.7
75,0.82,75,0.82,75,0.23,75,0.7,75,0.96,75,0.94,75,0.22,75,0.72
76,0.81,76,0.82,76,0.22,76,0.68,76,0.96,76,0.94,76,0.22,76,0.7
77,0.82,77,0.81,77,0.22,77,0.71,77,0.96,77,0.94,77,0.22,77,0.72
78,0.82,78,0.81,78,0.22,78,0.69,78,0.96,78,0.95,78,0.22,78,0.7
79,0.81,79,0.82,79,0.22,79,0.69,79,0.96,79,0.94,79,0.22,79,0.72
80,0.82,80,0.82,80,0.22,80,0.7,80,0.96,80,0.95,80,0.22,80,0.72
81,0.81,81,0.82,81,0.22,81,0.69,81,0.96,81,0.95,81,0.22,81,0.71
82,0.82,82,0.82,82,0.22,82,0.68,82,0.97,82,0.96,82,0.22,82,0.7
83,0.82,83,0.82,83,0.22,83,0.71,83,0.96,83,0.95,83,0.22,83,0.71
84,0.82,84,0.82,84,0.22,84,0.7,84,0.96,84,0.95,84,0.22,84,0.72
85,0.82,85,0.81,85,0.22,85,0.69,85,0.95,85,0.95,85,0.22,85,0.69
86,0.82,86,0.81,86,0.22,86,0.67,86,0.95,86,0.96,86,0.22,86,0.68
87,0.82,87,0.82,87,0.21,87,0.67,87,0.95,87,0.96,87,0.21,87,0.69
88,0.82,88,0.82,88,0.21,88,0.68,88,0.96,88,0.96,88,0.21,88,0.69
89,0.82,89,0.82,89,0.21,89,0.66,89,0.96,89,0.96,89,0.21,89,0.66
90,0.82,90,0.81,90,0.21,90,0.69,90,0.96,90,0.95,90,0.21,90,0.7
91,0.82,91,0.81,91,0.21,91,0.7,91,0.96,91,0.96,91,0.21,91,0.72
92,0.81,92,0.82,92,0.21,92,0.67,92,0.97,92,0.96,92,0.21,92,0.67
93,0.82,93,0.82,93,0.21,93,0.67,93,0.97,93,0.96,93,0.21,93,0.68
94,0.82,94,0.82,94,0.21,94,0.65,94,0.97,94,0.96,94,0.21,94,0.65
95,0.82,95,0.82,95,0.21,95,0.68,95,0.97,95,0.95,95,0.21,95,0.68
96,0.82,96,0.82,96,0.21,96,0.66,96,0.97,96,0.97,96,0.21,96,0.68
97,0.82,97,0.82,97,0.21,97,0.65,97,0.97,97,0.96,97,0.21,97,0.65
98,0.82,98,0.82,98,0.2,98,0.67,98,0.97,98,0.97,98,0.21,98,0.69
99,0.82,99,0.82,99,0.2,99,0.66,99,0.96,99,0.97,99,0.21,99,0.68
