HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
78,0.87,78,0.87,78,0.24,78,0.77,78,0.96,78,0.96,78,0.24,78,0.78
79,0.87,79,0.87,79,0.24,79,0.76,79,0.97,79,0.95,79,0.24,79,0.77
80,0.87,80,0.87,80,0.24,80,0.77,80,0.97,80,0.96,80,0.24,80,0.78
81,0.87,81,0.87,81,0.24,81,0.77,81,0.96,81,0.95,81,0.24,81,0.77
82,0.88,82,0.87,82,0.24,82,0.8,82,0.97,82,0.95,82,0.24,82,0.81
83,0.87,83,0.87,83,0.24,83,0.77,83,0.96,83,0.95,83,0.24,83,0.77
84,0.87,84,0.87,84,0.24,84,0.78,84,0.97,84,0.96,84,0.24,84,0.79
85,0.87,85,0.87,85,0.23,85,0.76,85,0.96,85,0.96,85,0.23,85,0.76
86,0.87,86,0.87,86,0.23,86,0.76,86,0.96,86,0.96,86,0.23,86,0.77
87,0.87,87,0.87,87,0.23,87,0.77,87,0.96,87,0.96,87,0.23,87,0.78
88,0.87,88,0.87,88,0.23,88,0.76,88,0.96,88,0.96,88,0.23,88,0.76
89,0.87,89,0.87,89,0.23,89,0.77,89,0.96,89,0.96,89,0.23,89,0.78
90,0.87,90,0.87,90,0.23,90,0.76,90,0.97,90,0.96,90,0.23,90,0.77
91,0.87,91,0.87,91,0.23,91,0.76,91,0.97,91,0.96,91,0.23,91,0.76
92,0.87,92,0.87,92,0.23,92,0.77,92,0.97,92,0.97,92,0.23,92,0.78
93,0.87,93,0.87,93,0.23,93,0.77,93,0.97,93,0.97,93,0.23,93,0.77
94,0.87,94,0.87,94,0.22,94,0.76,94,0.97,94,0.97,94,0.23,94,0.76
95,0.87,95,0.87,95,0.22,95,0.76,95,0.97,95,0.97,95,0.22,95,0.77
96,0.87,96,0.87,96,0.22,96,0.77,96,0.97,96,0.97,96,0.22,96,0.78
97,0.87,97,0.87,97,0.22,97,0.75,97,0.98,97,0.97,97,0.22,97,0.75
98,0.87,98,0.87,98,0.22,98,0.75,98,0.97,98,0.97,98,0.22,98,0.76
99,0.87,99,0.87,99,0.22,99,0.76,99,0.97,99,0.97,99,0.22,99,0.76
